"","Route","StateNum","matssname","complete","n_missing","prop_missing","n_possible_years","CountryNum","RouteName","Active","Latitude","Longitude","Stratum","BCR","RouteTypeID","RouteTypeDetailID"
"102",113,25,"bbs_rtrg_113_25",TRUE,0,0,27,840,"ISLAND GROVE",1,29.4553574,-82.119094,3,31,1,1
"103",46,27,"bbs_rtrg_46_27",TRUE,0,0,44,840,"JULIETTE",1,33.1053145,-83.8122125,11,29,1,1
"104",56,27,"bbs_rtrg_56_27",TRUE,0,0,20,840,"KELLER",0,31.7655427,-81.2461699,3,27,1,1
"105",305,27,"bbs_rtrg_305_27",TRUE,0,0,14,840,"COLONELS ISLAND",1,31.7275586,-81.2589304,3,27,1,1
"106",309,27,"bbs_rtrg_309_27",TRUE,0,0,13,840,"MILLEN",1,32.6387756,-81.8440915,4,27,1,1
"107",322,27,"bbs_rtrg_322_27",TRUE,0,0,14,840,"ROLAND",1,32.8593849,-84.4158115,11,29,1,1
"108",327,27,"bbs_rtrg_327_27",TRUE,0,0,12,840,"SUNNY SIDE",1,33.382002,-84.2837106,11,29,1,1
"109",333,27,"bbs_rtrg_333_27",TRUE,0,0,11,840,"HEBRON",1,34.3932407,-83.1032176,11,29,1,1
"110",335,27,"bbs_rtrg_335_27",TRUE,0,0,14,840,"PLEASANT HILL",1,34.906261,-84.5124264,23,28,1,1
"111",13,33,"bbs_rtrg_13_33",TRUE,0,0,37,840,"CHALLIS",1,44.6127281,-114.1743245,65,10,1,1
"112",20,33,"bbs_rtrg_20_33",TRUE,0,0,40,840,"CRATERS",1,43.4619319,-113.5630006,89,9,1,1
"113",27,33,"bbs_rtrg_27_33",TRUE,0,0,39,840,"POCATELLO",1,42.8548166,-112.519388,88,9,1,1
"114",128,33,"bbs_rtrg_128_33",TRUE,0,0,35,840,"BLACKFT RES",1,42.9613154,-111.7185508,89,9,1,1
"115",212,33,"bbs_rtrg_212_33",TRUE,0,0,28,840,"YELLOW PINE",1,44.9600847,-115.4933479,64,10,1,1
"116",220,33,"bbs_rtrg_220_33",TRUE,0,0,30,840,"CAREY",1,43.3387265,-113.8743621,89,9,1,1
"117",46,34,"bbs_rtrg_46_34",TRUE,0,0,49,840,"BRADBURY",1,39.3149204,-88.195176,31,22,1,1
"118",59,34,"bbs_rtrg_59_34",TRUE,0,0,49,840,"PULASKI",1,37.2325914,-89.2352685,14,24,1,1
