"k","seed","cpts","nit","nfolds","sum_loglik","ntests","test_steps","dataset"
7,4,5,100,20,-62.528406174225,2,"236, 61","all_evals_toy_rodents"
7,4,5,100,20,-43.7117270179238,2,"167, 379","all_evals_toy_rodents"
7,4,5,100,20,-60.8276823294451,2,"250, 215","all_evals_toy_rodents"
7,4,5,100,20,-98.4203621337088,2,"253, 359","all_evals_toy_rodents"
7,4,5,100,20,-63.017101930926,2,"165, 363","all_evals_toy_rodents"
7,4,5,100,20,-49.8802291919197,2,"267, 301","all_evals_toy_rodents"
7,4,5,100,20,-95.8783550784532,2,"342, 35","all_evals_toy_rodents"
7,4,5,100,20,-55.9359934834526,2,"331, 376","all_evals_toy_rodents"
7,4,5,100,20,-54.0520546580757,2,"418, 411","all_evals_toy_rodents"
7,4,5,100,20,-59.5389781968204,2,"364, 66","all_evals_toy_rodents"
7,4,5,100,20,-92.1621251240934,2,"359, 296","all_evals_toy_rodents"
7,4,5,100,20,-44.3529386282464,2,"171, 246","all_evals_toy_rodents"
7,4,5,100,20,-42.7699131917155,2,"214, 93","all_evals_toy_rodents"
7,4,5,100,20,-71.6211038300602,2,"303, 219","all_evals_toy_rodents"
7,4,5,100,20,-37.8437211504356,2,"313, 38","all_evals_toy_rodents"
7,4,5,100,20,-56.4217887507273,2,"54, 285","all_evals_toy_rodents"
7,4,5,100,20,-53.8667942358658,2,"94, 176","all_evals_toy_rodents"
8,4,4,100,20,-73.1988257160519,2,"296, 246","all_evals_toy_rodents"
8,4,4,100,20,-58.1683642885594,2,"344, 227","all_evals_toy_rodents"
8,4,4,100,20,-112.401875749579,2,"434, 212","all_evals_toy_rodents"
8,4,4,100,20,-65.7661189964183,2,"236, 61","all_evals_toy_rodents"
8,4,4,100,20,-44.628403661141,2,"167, 379","all_evals_toy_rodents"
8,4,4,100,20,-66.1093393424965,2,"250, 215","all_evals_toy_rodents"
8,4,4,100,20,-92.6665425313598,2,"253, 359","all_evals_toy_rodents"
8,4,4,100,20,-66.4609325893493,2,"165, 363","all_evals_toy_rodents"
8,4,4,100,20,-50.946665605057,2,"267, 301","all_evals_toy_rodents"
8,4,4,100,20,-98.4241625389298,2,"342, 35","all_evals_toy_rodents"
8,4,4,100,20,-47.314825748545,2,"331, 376","all_evals_toy_rodents"
8,4,4,100,20,-52.7424170415722,2,"418, 411","all_evals_toy_rodents"
8,4,4,100,20,-58.0258379324866,2,"364, 66","all_evals_toy_rodents"
8,4,4,100,20,-98.2445254131224,2,"359, 296","all_evals_toy_rodents"
8,4,4,100,20,-49.578338190519,2,"171, 246","all_evals_toy_rodents"
8,4,4,100,20,-45.3034217785607,2,"214, 93","all_evals_toy_rodents"
8,4,4,100,20,-67.3697324284407,2,"303, 219","all_evals_toy_rodents"
8,4,4,100,20,-40.4683483530662,2,"313, 38","all_evals_toy_rodents"
8,4,4,100,20,-55.2541647183593,2,"54, 285","all_evals_toy_rodents"
8,4,4,100,20,-51.093416403033,2,"94, 176","all_evals_toy_rodents"
2,6,3,100,20,-79.2815364651262,2,"296, 246","all_evals_toy_rodents"
2,6,3,100,20,-67.8020755578964,2,"344, 227","all_evals_toy_rodents"
2,6,3,100,20,-143.240269636515,2,"434, 212","all_evals_toy_rodents"
2,6,3,100,20,-71.9622383364524,2,"236, 61","all_evals_toy_rodents"
2,6,3,100,20,-37.8517979553083,2,"167, 379","all_evals_toy_rodents"
2,6,3,100,20,-70.5412023270894,2,"250, 215","all_evals_toy_rodents"
2,6,3,100,20,-85.7403264141789,2,"253, 359","all_evals_toy_rodents"
2,6,3,100,20,-61.093044362766,2,"165, 363","all_evals_toy_rodents"
2,6,3,100,20,-60.115655418424,2,"267, 301","all_evals_toy_rodents"
2,6,3,100,20,-85.7054054828358,2,"342, 35","all_evals_toy_rodents"
2,6,3,100,20,-56.1134192508038,2,"331, 376","all_evals_toy_rodents"
2,6,3,100,20,-86.8454008157732,2,"418, 411","all_evals_toy_rodents"
2,6,3,100,20,-53.2492455961445,2,"364, 66","all_evals_toy_rodents"
2,6,3,100,20,-101.45000191869,2,"359, 296","all_evals_toy_rodents"
2,6,3,100,20,-66.2419312409767,2,"171, 246","all_evals_toy_rodents"
2,6,3,100,20,-50.7202742897218,2,"214, 93","all_evals_toy_rodents"
2,6,3,100,20,-84.8001832956448,2,"303, 219","all_evals_toy_rodents"
2,6,3,100,20,-50.1395255352759,2,"313, 38","all_evals_toy_rodents"
2,6,3,100,20,-58.5832431522398,2,"54, 285","all_evals_toy_rodents"
2,6,3,100,20,-63.63239282474,2,"94, 176","all_evals_toy_rodents"
3,6,4,100,20,-70.7975546229195,2,"296, 246","all_evals_toy_rodents"
3,6,4,100,20,-63.7363003697414,2,"344, 227","all_evals_toy_rodents"
3,6,4,100,20,-134.212572724555,2,"434, 212","all_evals_toy_rodents"
3,6,4,100,20,-70.3756065491594,2,"236, 61","all_evals_toy_rodents"
3,6,4,100,20,-37.6841546715596,2,"167, 379","all_evals_toy_rodents"
3,6,4,100,20,-68.3970051527378,2,"250, 215","all_evals_toy_rodents"
3,6,4,100,20,-85.7837296249619,2,"253, 359","all_evals_toy_rodents"
3,6,4,100,20,-60.2819774771104,2,"165, 363","all_evals_toy_rodents"
3,6,4,100,20,-53.3394002503502,2,"267, 301","all_evals_toy_rodents"
3,6,4,100,20,-102.144121942121,2,"342, 35","all_evals_toy_rodents"
3,6,4,100,20,-51.8382605566678,2,"331, 376","all_evals_toy_rodents"
3,6,4,100,20,-64.3308009802947,2,"418, 411","all_evals_toy_rodents"
3,6,4,100,20,-51.0847127386593,2,"364, 66","all_evals_toy_rodents"
3,6,4,100,20,-83.4317126440285,2,"359, 296","all_evals_toy_rodents"
3,6,4,100,20,-62.7180762553167,2,"171, 246","all_evals_toy_rodents"
3,6,4,100,20,-49.3861895490739,2,"214, 93","all_evals_toy_rodents"
3,6,4,100,20,-75.5021330584034,2,"303, 219","all_evals_toy_rodents"
3,6,4,100,20,-48.3363393404102,2,"313, 38","all_evals_toy_rodents"
3,6,4,100,20,-52.5902191421846,2,"54, 285","all_evals_toy_rodents"
3,6,4,100,20,-52.3050768403191,2,"94, 176","all_evals_toy_rodents"
4,6,4,100,20,-66.4080917846241,2,"296, 246","all_evals_toy_rodents"
4,6,4,100,20,-59.846042706542,2,"344, 227","all_evals_toy_rodents"
4,6,4,100,20,-124.30189514817,2,"434, 212","all_evals_toy_rodents"
4,6,4,100,20,-66.6905685940099,2,"236, 61","all_evals_toy_rodents"
4,6,4,100,20,-40.7684337439712,2,"167, 379","all_evals_toy_rodents"
4,6,4,100,20,-64.581528538756,2,"250, 215","all_evals_toy_rodents"
4,6,4,100,20,-86.729937982541,2,"253, 359","all_evals_toy_rodents"
4,6,4,100,20,-60.0979504394574,2,"165, 363","all_evals_toy_rodents"
4,6,4,100,20,-54.7037534762877,2,"267, 301","all_evals_toy_rodents"
4,6,4,100,20,-93.4209141024714,2,"342, 35","all_evals_toy_rodents"
4,6,4,100,20,-53.1493636852392,2,"331, 376","all_evals_toy_rodents"
4,6,4,100,20,-70.7484760202337,2,"418, 411","all_evals_toy_rodents"
4,6,4,100,20,-57.3699757597794,2,"364, 66","all_evals_toy_rodents"
4,6,4,100,20,-80.5536614649241,2,"359, 296","all_evals_toy_rodents"
4,6,4,100,20,-62.3768138930057,2,"171, 246","all_evals_toy_rodents"
4,6,4,100,20,-48.0480920150008,2,"214, 93","all_evals_toy_rodents"
4,6,4,100,20,-68.1550694239951,2,"303, 219","all_evals_toy_rodents"
4,6,4,100,20,-39.1851230044775,2,"313, 38","all_evals_toy_rodents"
4,6,4,100,20,-55.6447274344712,2,"54, 285","all_evals_toy_rodents"
4,6,4,100,20,-59.3017653867775,2,"94, 176","all_evals_toy_rodents"
5,6,4,100,20,-67.3059366773256,2,"296, 246","all_evals_toy_rodents"
5,6,4,100,20,-64.2697660546643,2,"344, 227","all_evals_toy_rodents"
5,6,4,100,20,-117.442499185764,2,"434, 212","all_evals_toy_rodents"
