"","k","seed","ncpts","nit","aicc"
"1954",9,80,1,100,239.744257356372
"1955",10,80,1,100,376.870658669161
"1956",11,80,1,100,1054.18082952024
"1957",12,80,1,100,-965.894900632883
"1958",13,80,1,100,-287.232034757318
"1959",14,80,1,100,-149.440201228291
"1960",15,80,1,100,-88.8372381233286
"1961",2,82,1,100,27.5421373730415
"1962",3,82,1,100,50.1556619016829
"1963",4,82,1,100,67.6328522051161
"1964",5,82,1,100,85.7794706806835
"1965",6,82,1,100,108.892139804922
"1966",7,82,1,100,134.281484197471
"1967",8,82,1,100,173.214248559757
"1968",9,82,1,100,237.196244491749
"1969",10,82,1,100,377.520582782889
"1970",11,82,1,100,1052.25387984985
"1971",12,82,1,100,-966.476143021103
"1972",13,82,1,100,-288.566157711553
"1973",14,82,1,100,-150.300811236934
"1974",15,82,1,100,-93.0396756410867
"1975",2,84,1,100,31.7109553647382
"1976",3,84,1,100,53.3035585563758
"1977",4,84,1,100,68.1638363498186
"1978",5,84,1,100,86.4304227664748
"1979",6,84,1,100,102.427616465003
"1980",7,84,1,100,131.160993078847
"1981",8,84,1,100,170.669542552175
"1982",9,84,1,100,232.854240699952
"1983",10,84,1,100,372.686682054628
"1984",11,84,1,100,1051.6178400117
"1985",12,84,1,100,-966.809771044676
"1986",13,84,1,100,-288.894786950694
"1987",14,84,1,100,-151.691715976458
"1988",15,84,1,100,-92.9596158879451
"1989",2,86,1,100,33.1818994835561
"1990",3,86,1,100,53.5336222579825
"1991",4,86,1,100,73.1205553092199
"1992",5,86,1,100,86.2865060755649
"1993",6,86,1,100,109.751919956042
"1994",7,86,1,100,137.978903029255
"1995",8,86,1,100,174.17712312818
"1996",9,86,1,100,236.04155856936
"1997",10,86,1,100,374.534599233107
"1998",11,86,1,100,1054.67696474954
"1999",12,86,1,100,-964.863210011188
"2000",13,86,1,100,-287.67129810279
"2001",14,86,1,100,-152.089164066039
"2002",15,86,1,100,-87.9908694170001
"2003",2,88,1,100,32.3487820392208
"2004",3,88,1,100,51.0028378344429
"2005",4,88,1,100,72.0895148148985
"2006",5,88,1,100,93.2039553662283
"2007",6,88,1,100,113.728033697122
"2008",7,88,1,100,139.69149398737
"2009",8,88,1,100,176.347646287262
"2010",9,88,1,100,237.048842570353
"2011",10,88,1,100,373.534251538567
"2012",11,88,1,100,1052.63612302002
"2013",12,88,1,100,-969.359518559461
"2014",13,88,1,100,-290.979994977908
"2015",14,88,1,100,-154.917307867628
"2016",15,88,1,100,-92.2070489719029
"2017",2,90,1,100,30.5733967855058
"2018",3,90,1,100,50.9253538902021
"2019",4,90,1,100,67.3086899565552
"2020",5,90,1,100,89.1299599173624
"2021",6,90,1,100,109.615689128885
"2022",7,90,1,100,135.136470353528
"2023",8,90,1,100,173.081725741611
"2024",9,90,1,100,235.375935766019
"2025",10,90,1,100,374.142851563754
"2026",11,90,1,100,1052.02458287166
"2027",12,90,1,100,-968.803870957371
"2028",13,90,1,100,-290.288134913438
"2029",14,90,1,100,-151.978918182922
"2030",15,90,1,100,-92.8602937919684
"2031",2,92,1,100,39.1057283281301
