"","loglik","k","seed","cpts","nit"
"257",-23771.7370382585,4,2,0,100
"258",-22761.2786002811,4,2,0,100
"259",-26097.3684090005,4,2,0,100
"260",-23944.620300516,4,2,0,100
"261",-21977.7087843683,4,2,0,100
"262",-23103.779518171,4,2,0,100
"263",-22853.4120004489,4,2,0,100
"264",-26015.8542840972,4,2,0,100
"265",-23495.1134144861,4,2,0,100
"266",-22303.474969274,4,2,0,100
"267",-23472.8637383733,4,2,0,100
"268",-25641.1784766476,4,2,0,100
"269",-21699.6785613262,4,2,0,100
"270",-23957.1408083531,4,2,0,100
"271",-23633.4895586063,4,2,0,100
"272",-26948.589246238,4,2,0,100
"273",-23693.0549782013,4,2,0,100
"274",-21481.2558269096,4,2,0,100
"275",-21773.3058721608,4,2,0,100
"276",-22660.7010207579,4,2,0,100
"277",-20808.8646528801,4,2,0,100
"278",-20366.3223322875,4,2,0,100
"279",-23440.2497803181,4,2,0,100
"280",-24891.6787627186,4,2,0,100
"281",-25837.9452116975,4,2,0,100
"282",-20313.971777714,4,2,0,100
"283",-24752.4071884491,4,2,0,100
"284",-21948.9835005519,4,2,0,100
"285",-23790.3272483708,4,2,0,100
"286",-23861.2205224014,4,2,0,100
"287",-21528.4511692483,4,2,0,100
"288",-21785.9687075373,4,2,0,100
"289",-20510.7614028951,4,2,0,100
"290",-20618.9976148841,4,2,0,100
"291",-22633.0770602284,4,2,0,100
"292",-19581.0150337989,4,2,0,100
"293",-22806.7349380336,4,2,0,100
"294",-22368.2472092666,4,2,0,100
"295",-22396.5052023997,4,2,0,100
"296",-22457.0254128064,4,2,0,100
"297",-21412.0736524969,4,2,0,100
"298",-19824.1910615577,4,2,0,100
"299",-23072.7710184945,4,2,0,100
"300",-23136.6357646282,4,2,0,100
"301",-25526.2800008882,5,2,0,100
"302",-29299.4765329807,5,2,0,100
"303",-20393.396440689,5,2,0,100
"304",-26455.2844818973,5,2,0,100
"305",-25429.0932487603,5,2,0,100
"306",-23760.8524268131,5,2,0,100
"307",-29421.8390203987,5,2,0,100
"308",-28666.110704637,5,2,0,100
"309",-24424.4851801279,5,2,0,100
"310",-30603.0514848729,5,2,0,100
"311",-26356.2621369471,5,2,0,100
"312",-27369.0891733659,5,2,0,100
"313",-27197.5528889273,5,2,0,100
"314",-29734.4646485421,5,2,0,100
"315",-24594.7189601858,5,2,0,100
"316",-23622.6253446104,5,2,0,100
"317",-24184.544751892,5,2,0,100
"318",-26096.6124468252,5,2,0,100
"319",-28303.0658145158,5,2,0,100
"320",-29801.504718581,5,2,0,100
"321",-25802.3256360831,5,2,0,100
"322",-25310.7963263394,5,2,0,100
"323",-19822.1634291006,5,2,0,100
"324",-24648.6687141699,5,2,0,100
"325",-22848.6703826476,5,2,0,100
"326",-24706.6239039446,5,2,0,100
"327",-25500.6859372134,5,2,0,100
"328",-23500.7966795411,5,2,0,100
"329",-23513.4604781068,5,2,0,100
"330",-25942.5046594672,5,2,0,100
"331",-32451.5581897075,5,2,0,100
"332",-28434.4695569212,5,2,0,100
"333",-26345.8363347872,5,2,0,100
"334",-26194.8895339547,5,2,0,100
"335",-22772.3494531849,5,2,0,100
"336",-26476.9574492823,5,2,0,100
"337",-26420.5329364716,5,2,0,100
"338",-24964.0800950626,5,2,0,100
"339",-22734.7862383316,5,2,0,100
"340",-23807.1338962968,5,2,0,100
"341",-25375.5474807853,5,2,0,100
"342",-24912.6742888494,5,2,0,100
"343",-27407.5061445982,5,2,0,100
"344",-22320.2449630068,5,2,0,100
"345",-26342.564780756,5,2,0,100
"346",-24309.0944387691,5,2,0,100
"347",-25743.5953433459,5,2,0,100
"348",-24470.1891556464,5,2,0,100
"349",-28559.2386634751,5,2,0,100
"350",-23416.770899121,5,2,0,100
"351",-27692.2489281987,5,2,0,100
"352",-24708.5540167879,5,2,0,100
"353",-20616.3969459592,5,2,0,100
"354",-25100.0821648074,5,2,0,100
"355",-25759.9726631076,5,2,0,100
"356",-25051.0458780466,5,2,0,100
"357",-25486.2819976914,5,2,0,100
"358",-25125.0638733291,5,2,0,100
"359",-22533.4097520502,5,2,0,100
"360",-21695.0683279146,5,2,0,100
"361",-24620.4181580303,5,2,0,100
"362",-24254.9641989553,5,2,0,100
"363",-24829.0117800584,5,2,0,100
"364",-23349.8357828161,5,2,0,100
"365",-23763.4648129665,5,2,0,100
"366",-27795.0727496451,5,2,0,100
"367",-27684.7124218295,5,2,0,100
"368",-24758.9168080466,5,2,0,100
"369",-22485.6137962655,5,2,0,100
"370",-27199.9472466965,5,2,0,100
"371",-21141.917470741,5,2,0,100
"372",-28093.9432307893,5,2,0,100
"373",-23928.886011011,5,2,0,100
"374",-23176.1549189709,5,2,0,100
"375",-21687.5305179334,5,2,0,100
"376",-24895.3267950506,5,2,0,100
"377",-23382.7611103154,5,2,0,100
"378",-25986.648818392,5,2,0,100
"379",-26807.5795331749,5,2,0,100
"380",-27435.8450064728,5,2,0,100
"381",-25993.04143615,5,2,0,100
"382",-24084.6865814201,5,2,0,100
"383",-23984.6779982607,5,2,0,100
"384",-25882.118809172,5,2,0,100
"385",-28773.3871475505,5,2,0,100
"386",-25763.3098174141,5,2,0,100
"387",-23220.0414790759,5,2,0,100
"388",-24896.7548848593,5,2,0,100
"389",-30052.9849142207,5,2,0,100
"390",-23624.7763005209,5,2,0,100
"391",-27915.4364904164,5,2,0,100
"392",-22344.173057279,5,2,0,100
"393",-26273.1548561997,5,2,0,100
"394",-24057.7322833364,5,2,0,100
"395",-25339.6563131768,5,2,0,100
